Spp,Reg,Latitude,Longitude,MonthMaxALA,MonthCollectionLabel,MonthsActivityALA,Batch,NameinHR
velu05,ANIC002877,-31.53333,138.6,10,11,"10,11,12",original,NA
vrdi02,ANIC011299,-22.86667,150.6167,12,11,"01,11,12",original,NA
vrdi03,ANIC011292,-33.95,151.2333,12,12,"01,11,12",original,NA
xyle01,PicXB64901,-29.542972,152.380253,10,10,"08,09,10",original,NA
xyle02,PicXB64904,-38.131172,145.165666,10,10,"08,09,10",original,NA
xyle04,PicXB64910,-30.476706,152.660272,10,11,"08,09,10",original,NA
xyle05,PicXB64913,-37.738261,149.500614,10,11,"08,09,10",original,NA
xyle06,PicXB64916,-35.32,148.46,10,11,"08,09,10",original,NA
xyle07,xyle07,-31.45,152.74,10,1,"08,09,10",HR,xyln1
xyle08,xyle08,-30.52,152.38,10,12,"08,09,10",HR,xyln2
xyle09,xyle09,-33.725,151.203,10,1,"08,09,10",HR,xyln3
xyls01,PicXB64919,-35.529941,148.77257,11,10,"08,09,10",original,NA
xyls02,PicXB64922,-35.5766,148.779885,11,11,"08,09,10",original,NA
xyls03,PicXB64925,-35.5766,148.779885,11,11,"08,09,10",original,NA
