ind,SpeciesName,ANIC,Pic_code,Filter,tr,label,area,mean,min,max,camera_cat,location,patch_ID
ecry03,Epichrysus_lamprimoides,NA,4108,LCP,Elytra,B,2.443,2.165,0,97,J26,RoI,ecry03Elyt
ecry03,Epichrysus_lamprimoides,NA,4109,RCP,Elytra,B,2.443,22.568,13,115,J26,RoI,ecry03Elyt
ecry03,Epichrysus_lamprimoides,NA,4107,VIS,Elytra,G,2.443,75.072,39,246,J26,RoI,ecry03Elyt
ecry03,Epichrysus_lamprimoides,NA,4108,LCP,Elytra,G,2.443,86.345,39,246,J26,RoI,ecry03Elyt
ecry03,Epichrysus_lamprimoides,NA,4109,RCP,Elytra,G,2.443,29.24,17,140,J26,RoI,ecry03Elyt
ecry03,Epichrysus_lamprimoides,NA,4107,VIS,Elytra,R,2.443,67.03,34,230,J26,RoI,ecry03Elyt
ecry03,Epichrysus_lamprimoides,NA,4108,LCP,Elytra,R,2.443,69.899,25,223,J26,RoI,ecry03Elyt
ecry03,Epichrysus_lamprimoides,NA,4109,RCP,Elytra,R,2.443,39.333,18,130,J26,RoI,ecry03Elyt
fchi01,Calloodes_frenchii,NA,3643,VIS,Elytra,B,1.117,55.071,23,171,J21,RoI,fchi01Elyt
fchi01,Calloodes_frenchii,NA,3645,LCP,Elytra,B,1.117,30.919,0,74,J21,RoI,fchi01Elyt
fchi01,Calloodes_frenchii,NA,3646,RCP,Elytra,B,1.117,39.685,15,96,J21,RoI,fchi01Elyt
fchi01,Calloodes_frenchii,NA,3643,VIS,Elytra,G,1.117,70.892,33,203,J21,RoI,fchi01Elyt
fchi01,Calloodes_frenchii,NA,3645,LCP,Elytra,G,1.117,67.515,28,129,J21,RoI,fchi01Elyt
fchi01,Calloodes_frenchii,NA,3646,RCP,Elytra,G,1.117,42.077,18,119,J21,RoI,fchi01Elyt
fchi01,Calloodes_frenchii,NA,3643,VIS,Elytra,R,1.117,110.521,42,198,J21,RoI,fchi01Elyt
fchi01,Calloodes_frenchii,NA,3645,LCP,Elytra,R,1.117,138.344,48,216,J21,RoI,fchi01Elyt
fchi01,Calloodes_frenchii,NA,3646,RCP,Elytra,R,1.117,35.979,13,121,J21,RoI,fchi01Elyt
fchi02,Calloodes_frenchii,NA,3972,VIS,Elytra,B,2.351,71.047,29,143,J25,RoI,fchi02Elyt
fchi02,Calloodes_frenchii,NA,3974,LCP,Elytra,B,2.351,44.725,0,97,J25,RoI,fchi02Elyt
fchi02,Calloodes_frenchii,NA,3975,RCP,Elytra,B,2.351,53.515,18,113,J25,RoI,fchi02Elyt
fchi02,Calloodes_frenchii,NA,3972,VIS,Elytra,G,2.351,85.669,39,155,J25,RoI,fchi02Elyt
fchi02,Calloodes_frenchii,NA,3974,LCP,Elytra,G,2.351,82.23,31,147,J25,RoI,fchi02Elyt
fchi02,Calloodes_frenchii,NA,3975,RCP,Elytra,G,2.351,55.776,19,119,J25,RoI,fchi02Elyt
fchi02,Calloodes_frenchii,NA,3972,VIS,Elytra,R,2.351,132.932,53,225,J25,RoI,fchi02Elyt
fchi02,Calloodes_frenchii,NA,3974,LCP,Elytra,R,2.351,164.761,62,236,J25,RoI,fchi02Elyt
fchi02,Calloodes_frenchii,NA,3975,RCP,Elytra,R,2.351,44.742,16,102,J25,RoI,fchi02Elyt
gray01,Calloodes_grayanus,NA,4007,VIS,Elytra,B,2.554,16.14,0,134,J25,RoI,gray01Elyt
gray01,Calloodes_grayanus,NA,4009,LCP,Elytra,B,2.554,0.265,0,75,J25,RoI,gray01Elyt
gray01,Calloodes_grayanus,NA,4010,RCP,Elytra,B,2.554,15.956,0,86,J25,RoI,gray01Elyt
gray01,Calloodes_grayanus,NA,4007,VIS,Elytra,G,2.554,78.157,43,196,J25,RoI,gray01Elyt
gray01,Calloodes_grayanus,NA,4009,LCP,Elytra,G,2.554,92.222,37,177,J25,RoI,gray01Elyt
gray01,Calloodes_grayanus,NA,4010,RCP,Elytra,G,2.554,20.468,0,111,J25,RoI,gray01Elyt
gray01,Calloodes_grayanus,NA,4007,VIS,Elytra,R,2.554,47.708,23,138,J25,RoI,gray01Elyt
gray01,Calloodes_grayanus,NA,4009,LCP,Elytra,R,2.554,24.15,0,114,J25,RoI,gray01Elyt
gray01,Calloodes_grayanus,NA,4010,RCP,Elytra,R,2.554,32.363,21,113,J25,RoI,gray01Elyt
