species,reg,lat,lon,avg_temp_over_35,avg_max_temp,avg_min_temp,avg_sol,avg_year_sol,avg_year_vpr,cloud_cover,avg_rr,avg_vpr,avg_temp_over_35_Coll,avg_max_temp_Coll,avg_min_temp_Coll,avg_sol_Coll,avg_rr_Coll,avg_vpr_Coll
mcla02,ANIC003303,-22.78333092,117.7833023,56.4,32.47757331,18.07851906,21.74732405,21.58514933,9.866265963,1.984243992,0.987463343,9.666775293,45.9,32.22804662,17.97754019,21.18733119,1.325482315,10.18671664
mcla03,ANIC005833,-22.11667,133.4167,52.7,31.27538856,15.73256598,21.56890029,21.77273581,10.79831883,1.094148622,1.704472141,11.01035667,41.9,30.9472434,15.38633431,21.67610704,1.083797654,10.65707684
meli01,ANIC002784,-17.05,145.8333,3.5,29.2027346,21.26127933,20.00455279,19.98708935,23.679882,22.78850669,8.17994868,23.83323146,2.2,29.1478739,21.16992669,20.05760264,6.850659824,23.60624157
meli02,ANIC002785,-17.05,145.8333,3.5,29.2027346,21.26127933,20.00455279,19.98708935,23.679882,22.78850669,8.17994868,23.83323146,2.2,29.1478739,21.16992669,20.05760264,6.850659824,23.60624157
meli03,ANIC002791,-17.05,145.8333,3.5,29.2027346,21.26127933,20.00455279,19.98708935,23.679882,22.78850669,8.17994868,23.83323146,2.2,29.1478739,21.16992669,20.05760264,6.850659824,23.60624157
meli04,ANIC002795,-17.05,145.8333,3.5,29.2027346,21.26127933,20.00455279,19.98708935,23.679882,22.78850669,8.17994868,23.83323146,2.2,29.1478739,21.16992669,20.05760264,6.850659824,23.60624157
meli05,ANIC002796,-18.98332977,146.1499939,0.4,25.38874267,16.6769978,19.40227639,19.44337917,18.37532633,23.4604777,3.816092375,18.58827331,0.4,25.3322654,16.57233138,19.70274927,3.227419355,18.25567999
mima01,PicXB65085,-18.59,146.09,2.2,28.52021261,19.78671921,19.12195748,19.16997387,22.30081541,23.67620743,5.116422287,22.47936032,1.6,28.46808651,19.74271261,19.40361437,4.007258065,22.17489076
mima02,PicXB65088,-18.59,146.09,2.2,28.52021261,19.78671921,19.12195748,19.16997387,22.30081541,23.67620743,5.116422287,22.47936032,1.6,28.46808651,19.74271261,19.40361437,4.007258065,22.17489076
mont01,ANIC005349,-27.93333,152.9333,9.2,26.80318983,13.49127392,17.85299094,18.15625373,16.37269452,19.70153457,2.425881168,16.48703201,2,26.69066716,13.76857771,17.15854106,3.526759531,16.84839228
mont02,ANIC005261,-35.58333,147.3667,21.3,21.69406596,8.867897784,16.96929758,16.94515617,10.97565736,13.49716893,1.838494461,10.91776512,7.6,22.12160557,9.129501466,16.96994868,1.503445748,11.09668512
mont03,ANIC005307,-34.6,148.5667,23.8,22.00903323,7.941339376,17.51808157,17.23696242,11.34833788,13.42962695,1.610674723,11.41962727,9.1,21.82340176,8.177463343,17.03312317,1.624340176,11.50250733
mont04,ANIC005279,-34.55,148.3,35.9,22.50110943,7.443011078,17.3935381,17.40219305,11.54478815,12.75690752,1.723581739,11.48159215,14.1,22.47847019,7.330562072,17.24021994,1.688074291,11.37285704
mont05,ANIC005389,-34.56667,138.85,50.3,22.95361866,10.35585599,17.19810339,17.04651817,11.41940785,14.74688032,1.215693186,11.37348807,12.8,22.63369501,10.23175464,17.39057674,1.13514174,11.36631818
mont06,ANIC005266,-36.38334,146.2833,30.2,22.64032729,8.398288016,16.72061682,16.7628951,11.42625775,12.38123111,1.46805136,11.39369279,11.9,23.03145894,8.6521261,16.69566716,1.215615836,11.55931598
mult01,ANIC005406,-26.03333,153.05,0.6,26.12520161,17.18980205,18.03091642,18.53945495,19.00985689,20.26072134,4.272067449,19.4331775,0.2,26.12186217,17.08217742,18.37319648,3.985190616,19.40473534
mult02,ANIC005409,-26.65,153.1,2.3,26.06676442,16.08506354,18.46128055,18.3709781,18.57985802,20.90419668,3.842473118,18.34048874,0.3,25.91266862,16.16713587,18.17742913,3.978396872,18.55527794
mult03,ANIC005407,-26.03333,153.05,0.6,26.12520161,17.18980205,18.03091642,18.53945495,19.00985689,20.26072134,4.272067449,19.4331775,0.2,26.12186217,17.08217742,18.37319648,3.985190616,19.40473534
narm01,ANIC005476,-31.13333,138.5667,56.2,25.54221232,11.62047862,19.3917057,19.41731956,9.156256939,7.564108134,0.891446029,9.085921461,15.1,25.47384164,11.83641496,19.20767595,0.748753666,9.572558651
narm02,ANIC005478,-31.33333333,138.6166667,54.8,25.47082994,11.57242108,19.28030295,19.31033474,9.230939071,7.673912728,0.88910387,9.148051044,15.5,25.11437121,11.42612121,19.57065152,0.903787879,9.034539015
