Species_name,Code,ANIC Reference,Latitude,Longitude,batch,NameinHR
Anoplognathus parvulus,pvul03,ANIC008742,-21.15,149.1833333,ThisManuscript,NA
Anoplognathus parvulus,pvul04,ANIC008709,-16.91667,145.7667,ThisManuscript,NA
Anoplognathus parvulus,pvul05,ANIC008650,-19.6,146.8333333,PrettyCoolBeetles,pvul1
Anoplognathus parvulus,pvul06,ANIC008651,-19.51667,147.1,PrettyCoolBeetles,pvul2
Calloodes rayneri,rayn01,NA,-16.31,145.04,ThisManuscript,NA
Calloodes rayneri,rayn02,NA,-16.41,145.2,ThisManuscript,NA
Calloodes rayneri,rayn03,NA,-16.41,145.2,ThisManuscript,NA
Calloodes rayneri,rayn04,NA,-28.04,145.41,PrettyCoolBeetles,rayn1
Calloodes rayneri,rayn05,NA,-28.04,145.41,PrettyCoolBeetles,rayn2
Repsimus aeneus,repa01,NA,-30.39232,152.992623,ThisManuscript,NA
Repsimus aeneus,repa02,NA,-35.273657,149.09899,ThisManuscript,NA
Repsimus aeneus,repa03,NA,-26.56,153.08,PrettyCoolBeetles,rpan1
Repsimus manicatus,reps01,NA,-33.399048,151.086442,ThisManuscript,NA
Repsimus manicatus,reps02,NA,-32.791273,150.9181116,ThisManuscript,NA
Repsimus manicatus,reps03,NA,-33.546,150.895,PrettyCoolBeetles,rpmm1
Repsimus manicatus,rept01,NA,-35.319838,148.953996,ThisManuscript,NA
Repsimus manicatus,rept02,NA,-35.526563,148.843618,ThisManuscript,NA
Repsimus manicatus,rept03,NA,-35.303871,148.894536,ThisManuscript,NA
Anoplognathus rhinastus,rina01,ANIC010272,-30.06666667,153.2,ThisManuscript,NA
Anoplognathus rhinastus,rina02,ANIC010273,-30.38333,153.0333,ThisManuscript,NA
Anoplognathus rhinastus,rina03,ANIC010275,-28.58333,151.8,ThisManuscript,NA
Anoplognathus rhinastus,rina04,ANIC010276,-28.58333,151.8,ThisManuscript,NA
Anoplognathus rothschildti,roci01,ANIC010586,-18.98332977,146.1499939,ThisManuscript,NA
Anoplognathus rothschildti,roci02,ANIC010614,-19,146.1999969,ThisManuscript,NA
Anoplognathus rothschildti,roci03,ANIC010521,-17.48332977,145.4833069,ThisManuscript,NA
Anoplognathus rothschildti,roci04,ANIC010613,-19,146.1999969,ThisManuscript,NA
Anoplostethus roseus,rose01,NA,-11.153309,132.1416199,ThisManuscript,NA
Anoplostethus roseus,rose02,NA,-16.08,136.06,ThisManuscript,NA
Anoplostethus roseus,rose03,NA,-12.436744,131.070062,ThisManuscript,NA
Anoplostethus roseus,rose04,NA,-16.08,136.06,ThisManuscript,NA
Anoplognathus suturalis,rubi01,ANIC010645,-30.38333,151.9333,ThisManuscript,NA
Anoplognathus suturalis,rubi02,ANIC010646,-30.38333,151.9333,ThisManuscript,NA
Anoplognathus suturalis,rubi03,ANIC010946,-37.3,146.1333,ThisManuscript,NA
Anoplognathus suturalis,rubi04,ANIC010947,-37.3,146.1333,ThisManuscript,NA
Anoplognathus suturalis,rubi05,ANIC010951,-35.33333333,149.3333333,ThisManuscript,NA
Anoplognathus suturalis,rubi06,ANIC010953,-35.33333333,149.3333333,ThisManuscript,NA
Anoplognathus rugosus,rugo01,ANIC010744,-34.05,151.15,ThisManuscript,NA
Anoplognathus rugosus,rugo02,ANIC010749,-35.55,149.95,ThisManuscript,NA
Anoplognathus rugosus,rugo03,ANIC010747,-35.55,149.95,ThisManuscript,NA
Anoplognathus smaragdinus,smgg01,ANIC010794,-17.58333,145.9833,ThisManuscript,NA
Anoplognathus smaragdinus,smgg02,ANIC010857,-17.46667,146.0333,ThisManuscript,NA
Anoplognathus smaragdinus,smgg03,ANIC010862,-17.53333,146.0167,PrettyCoolBeetles,smgd1
Anoplognathus smaragdinus,smgg04,NA,-16.91667,145.7667,PrettyCoolBeetles,smgd2
Anoplognathus smaragdinus,smgp01,ANIC010755,-16.91667,145.7667,ThisManuscript,NA
Anoplognathus smaragdinus,smgr01,ANIC010756,-16.91667,145.7667,ThisManuscript,NA
Anoplognathus viriditarsis,tars01,ANIC011524,-30.38333,153.0333,ThisManuscript,NA
Anoplognathus viriditarsis,tars02,ANIC011518,-30.38333,153.0333,ThisManuscript,NA
Anoplognathus viriditarsis,tars03,ANIC011508,-31.13333,149.55,ThisManuscript,NA
Anoplognathus viriditarsis,tars04,ANIC011459,-35.38334,148.8667,ThisManuscript,NA
Anoplognathus viriditarsis,tars05,ANIC011565,-38.18333333,146.3,PrettyCoolBeetles,tars1
Anoplognathus viriditarsis,tars06,ANIC011492,-34.96666667,149.0333333,PrettyCoolBeetles,tars2
Anoplognathus velutinus,velu01,ANIC011247,-35.26667,149.15,ThisManuscript,NA
Anoplognathus velutinus,velu02,ANIC011270,-27.93333,152.9333,ThisManuscript,NA
Anoplognathus velutinus,velu03,ANIC011243,-35.26667023,149.1000061,ThisManuscript,NA
Anoplognathus velutinus,velu04,ANIC002879,-31.33333333,138.6,ThisManuscript,NA
Anoplognathus velutinus,velu05,ANIC002877,-31.53333,138.6,ThisManuscript,NA
Anoplognathus viridiaeneus,vrdi02,ANIC011299,-22.86667,150.6167,ThisManuscript,NA
Anoplognathus viridiaeneus,vrdi03,ANIC011292,-33.95,151.2333,ThisManuscript,NA
Xylonichus sp.,xyle01,NA,-29.542972,152.380253,ThisManuscript,NA
Xylonichus sp.,xyle02,NA,-38.131172,145.165666,ThisManuscript,NA
Xylonichus sp.,xyle04,NA,-30.476706,152.660272,ThisManuscript,NA
Xylonichus sp.,xyle05,NA,-37.738261,149.500614,ThisManuscript,NA
Xylonichus sp.,xyle06,NA,-35.32,148.46,ThisManuscript,NA
Xylonichus sp.,xyle07,NA,-31.45,152.74,PrettyCoolBeetles,xyln1
Xylonichus sp.,xyle08,NA,-30.52,152.38,PrettyCoolBeetles,xyln2
Xylonichus sp.,xyle09,NA,-33.725,151.203,PrettyCoolBeetles,xyln3
Xylonichus sp.,xyls01,NA,-35.529941,148.77257,ThisManuscript,NA
Xylonichus sp.,xyls02,NA,-35.5766,148.779885,ThisManuscript,NA
Xylonichus sp.,xyls03,NA,-35.5766,148.779885,ThisManuscript,NA
