species,patch_ID,ID,R,G,B,type,camera_cat,col_percent,location
Astraeus_bakeri,Astraeus_bakeri_2,Astraeus_bakeri_2,15.154,0,167.036,UV,small,0.783333333,grey
Astraeus_bakeri,Astraeus_bakeri_3,Astraeus_bakeri_3,13.169,0,168.084,UV,small,0.810810811,grey
Astraeus_bakeri,Astraeus_bakeri_yellow_1,Astraeus_bakeri_1,13.222,0,167.962,UV,small,0.253521127,grey
Astraeus_bakeri,Astraeus_bakeri_yellow_2,Astraeus_bakeri_2,15.154,0,167.036,UV,small,0.216666667,grey
Astraeus_bakeri,Astraeus_bakeri_yellow_3,Astraeus_bakeri_3,13.169,0,168.084,UV,small,0.189189189,grey
Astraeus_bakeri,Astraeus_bakeri_1,Astraeus_bakeri_1,98.929,117.001,115.794,VIS,small,0.746478873,grey
Astraeus_bakeri,Astraeus_bakeri_2,Astraeus_bakeri_2,88.628,104.305,102.768,VIS,small,0.783333333,grey
Astraeus_bakeri,Astraeus_bakeri_3,Astraeus_bakeri_3,95.532,111.297,108.64,VIS,small,0.810810811,grey
Astraeus_bakeri,Astraeus_bakeri_yellow_1,Astraeus_bakeri_1,98.929,117.001,115.794,VIS,small,0.253521127,grey
Astraeus_bakeri,Astraeus_bakeri_yellow_2,Astraeus_bakeri_2,88.628,104.305,102.768,VIS,small,0.216666667,grey
Astraeus_bakeri,Astraeus_bakeri_yellow_3,Astraeus_bakeri_3,95.532,111.297,108.64,VIS,small,0.189189189,grey
Astraeus_bakeri,Astraeus_bakeri_1,Astraeus_bakeri_1,134.567,80.163,123.263,NIR,small,0.746478873,grey
Astraeus_bakeri,Astraeus_bakeri_2,Astraeus_bakeri_2,135.885,81.256,124.659,NIR,small,0.783333333,grey
Astraeus_bakeri,Astraeus_bakeri_3,Astraeus_bakeri_3,131.475,78.565,120.782,NIR,small,0.810810811,grey
Astraeus_bakeri,Astraeus_bakeri_yellow_1,Astraeus_bakeri_1,134.567,80.163,123.263,NIR,small,0.253521127,grey
Astraeus_bakeri,Astraeus_bakeri_yellow_2,Astraeus_bakeri_2,135.885,81.256,124.659,NIR,small,0.216666667,grey
Astraeus_bakeri,Astraeus_bakeri_yellow_3,Astraeus_bakeri_3,131.475,78.565,120.782,NIR,small,0.189189189,grey
Astraeus_crassus,Astraeus_crassus_1,Astraeus_crassus_1,0.073,6.49E-04,81.719,UV,medium,0.726143268,RoI
Astraeus_crassus,Astraeus_crassus_2,Astraeus_crassus_2,0.405,0.101,37.997,UV,medium,0.724860573,RoI
Astraeus_crassus,Astraeus_crassus_3,Astraeus_crassus_3,0.388,0.289,42.241,UV,medium,0.723867446,RoI
Astraeus_crassus,Astraeus_crassus_yellow_1,Astraeus_crassus_1,0.069,6.52E-04,72.572,UV,medium,0.273856732,RoI
Astraeus_crassus,Astraeus_crassus_yellow_2,Astraeus_crassus_2,0.495,0.069,54.782,UV,medium,0.275139427,RoI
Astraeus_crassus,Astraeus_crassus_yellow_3,Astraeus_crassus_3,0.522,0.309,36.952,UV,medium,0.276132554,RoI
