"","ind","R_ALL","R_VIS","R_NIR","Res","size","phylogeny_name","PC1","PC2","phylogeny_name.1"
"103","meli04",26.3086951217823,15.4478137954401,35.7848171811792,-6.66474495898512,2.008,"Anoplognathus_daemeli",-3.53368146360068,-0.446076404431291,"Anoplognathus_daemeli"
"104","meli05",22.7522130404458,11.2518777456444,32.777216132138,-5.5448862363412,1.896,"Anoplognathus_daemeli",-1.37344375722582,0.215342790686586,"Anoplognathus_daemeli"
"105","mima01",24.3210881467002,6.93655255508617,39.4513602513669,5.37415840434244,1.472,"Mimadoretus_niveosquamosus",-2.23341809148851,-0.31486708689428,"Mimadoretus_niveosquamosus"
"106","mima02",17.1964961548603,1.59106362007613,30.7718604604438,1.95291095030049,1.373,"Mimadoretus_niveosquamosus",-2.23341809148851,-0.31486708689428,"Mimadoretus_niveosquamosus"
"107","mont01",35.9195476272907,22.129752944083,47.9519089928757,-1.07054527566464,2.996,"Anoplognathus_montanus",0.091698286048102,-0.314837803538723,"Anoplognathus_montanus"
"108","mont02",33.6847593771847,21.8508800184157,44.0026975645768,-4.74543489151366,2.928,"Anoplognathus_montanus",1.54797760786162,0.464968846743108,"Anoplognathus_montanus"
"109","mont03",31.9778005554044,24.7559167549986,38.2782927410752,-13.3274672201096,2.928,"Anoplognathus_montanus",1.58248695906511,0.133498831785926,"Anoplognathus_montanus"
"110","mont04",30.1323689113219,17.8822371651181,40.8167355277148,-4.02752100396319,2.726,"Anoplognathus_montanus",1.62562146878763,-0.0591369083904076,"Anoplognathus_montanus"
"111","mont05",20.6321567798601,9.83485857478361,30.0391436045396,-6.88906487375043,2.941,"Anoplognathus_montanus",1.79469259648094,-0.206463528403423,"Anoplognathus_montanus"
"112","mont06",31.9614916556312,14.4506424157531,47.2276759948131,5.75901172970915,2.816,"Anoplognathus_montanus",1.7087662215119,0.205553407814648,"Anoplognathus_montanus"
"113","mult01",23.1636613203345,14.7031526168502,30.5258652691377,-11.191188314726,1.988,"Anoplognathus_multiseriatus",-1.13107727389631,0.135843599026296,"Anoplognathus_multiseriatus"
"114","mult02",21.0576851501445,5.90011886671215,34.252661090365,1.19497867929361,2.109,"Anoplognathus_multiseriatus",-1.05551098333679,0.164648843685134,"Anoplognathus_multiseriatus"
"115","mult03",21.1537216399927,8.43219985047991,32.2215431814399,-3.32689749551567,1.936,"Anoplognathus_multiseriatus",-1.13107727389631,0.135843599026296,"Anoplognathus_multiseriatus"
"116","narm01",44.849620313493,24.416401650015,62.6769948477768,11.4052092181997,2.621,"Anoplognathus_narmarus",2.48342578810658,-1.76588203019848,"Anoplognathus_narmarus"
"117","narm02",45.6051071974222,27.8943499586645,61.0654642059706,6.37248922517601,2.657,"Anoplognathus_narmarus",2.47455590372743,-1.70242914663301,"Anoplognathus_narmarus"
"118","narm03",42.7603094824873,26.0986233514488,57.3049945336062,4.3784405001918,2.474,"Anoplognathus_narmarus",2.54193806572957,-2.00312661916747,"Anoplognathus_narmarus"
"119","narm04",29.64515257112,12.9688341030697,44.1896516447608,4.17861307446387,2.513333333,"Anoplognathus_narmarus",2.39139711707045,-1.18716849840533,"Anoplognathus_narmarus"
"120","narm05",22.0249658819931,8.39880171520962,33.9069385217922,-1.60864906633139,2.513333333,"Anoplognathus_narmarus",2.39139711707045,-1.18716849840533,"Anoplognathus_narmarus"
"121","neba01",38.2350500459351,28.0893792509478,47.0929088219994,-7.79191263801864,2.377,"Anoplognathus_nebulosus",-0.757554268495537,-3.6562358895282,"Anoplognathus_nebulosus"
"122","neba02",34.2480216457865,22.843385015199,44.2065373324513,-5.51790276960978,2.467,"Anoplognathus_nebulosus",-0.757554268495537,-3.6562358895282,"Anoplognathus_nebulosus"
"123","nebn01",33.2226573867898,16.7290021064752,47.6117952233552,3.90195333845842,2.682,"Anoplognathus_nebulosus",-2.68154942270036,-1.47568085884082,"Anoplognathus_nebulosus"
"124","nebn02",34.7874875680565,22.2693166329445,45.7040614916709,-3.45567883283587,2.456,"Anoplognathus_nebulosus",-2.68154942270036,-1.47568085884082,"Anoplognathus_nebulosus"
"125","nebn03",27.4717444062697,10.6183669724552,42.168767165901,4.46983688589894,2.409,"Anoplognathus_nebulosus",0.0894914386153739,-2.12493090591736,"Anoplognathus_nebulosus"
"126","neus01",17.9978537876116,5.87183911946032,28.5384457100226,-4.49141846984832,2.819,"Anoplognathus_aeneus",-2.43431265184029,0.623034344228303,"Anoplognathus_aeneus"
"127","neus02",26.2065678572668,14.9364401954483,36.0059861348037,-5.94054785211442,3.406,"Anoplognathus_aeneus",-1.37344375722582,0.215342790686586,"Anoplognathus_aeneus"
"128","oliv01",42.3762176821702,29.467010217727,53.6413020876102,-2.59866786088053,2.569,"Anoplognathus_olivieri",-0.612048658125446,0.932537414435671,"Anoplognathus_olivieri"
"129","oliv02",41.9827876845957,29.5829944617687,52.8046575574002,-3.54940381091917,2.648,"Anoplognathus_olivieri",-0.612048658125446,0.932537414435671,"Anoplognathus_olivieri"
"130","opal01",28.9672260692594,15.5509647881847,40.6410849041447,-1.90994483893585,2.431,"Anoplostethus_opalinus",1.25682029514154,-0.884028150791539,"Anoplostethus_opalinus"
"131","opal02",30.0464251189987,21.9391365993267,37.1108807073679,-11.724068011643,2.745,"Anoplostethus_opalinus",1.28421080124002,-0.816310859099866,"Anoplostethus_opalinus"
"132","opal03",23.2642188735478,13.8722504301302,31.4448440826716,-9.45486736127573,2.588,"Anoplostethus_opalinus",1.02554535235436,-0.75040578873779,"Anoplostethus_opalinus"
"133","pali01",33.0780801528705,17.2887824341921,46.8524574209344,2.59197063673203,2.183,"Anoplognathus_pallidicollis",1.81304643522169,0.594641488040899,"Anoplognathus_pallidicollis"
"134","pali02",33.6692426793997,18.1796990713833,47.1839458844538,2.04708192569681,2.177,"Anoplognathus_pallidicollis",1.79097709125102,0.570071565129162,"Anoplognathus_pallidicollis"
"135","pali03",36.5753107313188,21.1926448196444,50.00026464087,1.89962520445225,1.942,"Anoplognathus_pallidicollis",2.20192419337126,-1.99393144707463,"Anoplognathus_pallidicollis"
"136","pali04",27.7079492863044,11.5995234737945,41.7571234563138,3.09304882212108,1.94,"Anoplognathus_pallidicollis",2.35731390009537,-1.28531139962536,"Anoplognathus_pallidicollis"
"137","pali05",24.238115668769,8.90189158422525,37.605721321707,1.59525412358431,2.018,"Anoplognathus_pallidicollis",2.35731390009537,-1.28531139962536,"Anoplognathus_pallidicollis"
"138","pali06",28.2174970338959,15.0089849207195,39.740856043462,-2.27703876298511,2.029,"Anoplognathus_pallidicollis",-0.395600392341179,-1.03264944964295,"Anoplognathus_pallidicollis"
"139","pali07",33.8886980292132,19.6749690999678,46.2909226012226,-0.316809077524837,1.847,"Anoplognathus_pallidicollis",-0.249073612528706,0.18975888964843,"Anoplognathus_pallidicollis"
"140","pali08",35.9895773117649,18.2557599969102,51.4611009619341,6.24941736660885,2.019428571,"Anoplognathus_pallidicollis",1.79097709125102,0.570071565129162,"Anoplognathus_pallidicollis"
"141","pali09",24.5075558811799,7.89077588186215,38.9901622304484,3.97430966336279,2.019428571,"Anoplognathus_pallidicollis",1.69812937380718,0.657055690771197,"Anoplognathus_pallidicollis"
"142","pczo01",18.8696219666421,5.65313235760768,30.3946687493685,-2.42005789012305,2,"Paraschizognathus_ocularis",-0.447813159621757,1.59806833682669,"Paraschizognathus_ocularis"
"143","pczo02",26.4639425313229,8.41138644486985,42.206053991272,6.67808705208258,1.929,"Paraschizognathus_ocularis",-0.642746858624255,1.29632169173538,"Paraschizognathus_ocularis"
"144","pczo03",29.2232106525343,10.8088810258547,45.2798545042832,7.39351929674771,1.89,"Paraschizognathus_ocularis",-0.642746858624255,1.29632169173538,"Paraschizognathus_ocularis"
"145","pczo05",30.1823146160499,9.75556240961089,47.9958212224239,11.145614822315,1.954,"Paraschizognathus_ocularis",0.236992616342612,0.769679162775192,"Paraschizognathus_ocularis"
"146","pczp01",24.9825692043817,3.63823715597669,43.5681744067349,12.7354605506123,1.863,"Paraschizognathus_prasinus",1.2593583073755,1.3439324132783,"Paraschizognathus_prasinus"
"147","pczp02",28.0357534462156,5.48512871652443,47.6837461568146,15.0342813949681,2.07,"Paraschizognathus_prasinus",1.01794680921562,1.80409505809895,"Paraschizognathus_prasinus"
"148","pczp03",24.0395398481295,12.7476117695663,33.8769476452916,-5.9164788662662,1.846,"Paraschizognathus_prasinus",1.43819633045278,1.1882174038017,"Paraschizognathus_prasinus"
"149","pczp04",17.8060881212626,3.80508096299204,30.0011983778634,-0.995636449941938,1.925,"Paraschizognathus_prasinus",1.43819633045278,1.1882174038017,"Paraschizognathus_prasinus"
"150","pczp05",32.162633383092,12.1633152582046,49.5970354279474,10.3783699033925,1.905,"Paraschizognathus_prasinus",0.643096389376151,1.68122646780754,"Paraschizognathus_prasinus"
"151","pczp06",23.8264378966069,5.66152013500806,39.6520335024696,6.82905597130979,1.905,"Paraschizognathus_prasinus",0.685764517897777,1.92008985561386,"Paraschizognathus_prasinus"
"152","pczv01",35.7029366786676,21.1723706817252,48.3703975714528,0.289701405779446,2.069,"Paraschizognathus_olivaceous",-0.681315295811295,0.748554058667149,"Paraschizognathus_olivaceous"
"153","pczv02",29.3225608240301,10.9805559983067,45.3183202325761,7.26311173093125,2.01,"Paraschizognathus_olivaceous",-0.647010392807266,0.958817911467625,"Paraschizognathus_olivaceous"
"154","pczv03",27.0779108577743,10.7297821114308,41.3382906201689,3.52976345913222,1.919,"Paraschizognathus_olivaceous",-0.700823575572647,1.33872729221434,"Paraschizognathus_olivaceous"
"155","pczv04",24.8663489766238,11.1776480252493,36.8053138577308,-1.44377019465429,1.973333333,"Paraschizognathus_olivaceous",-0.363668955565787,1.41850368113996,"Paraschizognathus_olivaceous"
"156","pczv05",32.5745173411188,12.5798385003879,50.017088284607,10.3886970383822,1.973333333,"Paraschizognathus_olivaceous",-0.647010392807266,0.958817911467625,"Paraschizognathus_olivaceous"
"157","pind01",24.9867585601855,11.4162165533254,36.8156171506257,-1.66814207095613,2.287,"Anoplognathus_pindarus",1.27173933027977,0.51817586401456,"Anoplognathus_pindarus"
"158","pind02",27.0235936366559,13.4415449995452,38.8615921960586,-1.6144427864059,2.177,"Anoplognathus_pindarus",1.27173933027977,0.51817586401456,"Anoplognathus_pindarus"
"159","pind03",20.7798650957168,8.23785682919821,31.7099324474128,-3.64733682160696,2.376,"Anoplognathus_pindarus",1.27173930697109,0.518175883710433,"Anoplognathus_pindarus"
"160","pind04",33.0732744895051,15.396158851435,48.4897793271071,6.09102913947483,2.454,"Anoplognathus_pindarus",1.82001867438487,0.584865050440905,"Anoplognathus_pindarus"
"161","pind05",28.9707370247363,10.1886626585884,45.3434302424378,8.06719164509167,2.48,"Anoplognathus_pindarus",1.80204617623241,0.675996893468676,"Anoplognathus_pindarus"
"162","pind06",26.550847019301,10.3344389069343,40.6862096431074,3.26657381721092,2.473,"Anoplognathus_pindarus",1.79894169090241,0.632880685884004,"Anoplognathus_pindarus"
