spp,reg,Latitude,Longitude,ALA.month,picode,colection.month,batch,NameinHR,NameinTree,NPPMean,fractionalCoverBareSoil20120305,leafAreaIndexLAI20120305,fractionOfPhotosyntheticallyActiveRadiationFPAR,aridityIndexAnnualMean,growthIndexC3MacrothermPlantsAnnualMean,growthIndexC3MesothermPlantsAnnualMean,growthIndexC4MegathermPlantsAnnualMean
pczv05,ANIC,-30.23,153.02,1,NA,11,HR,oliv2,Paraschizognathus_olivaceous,19,0,5.7,89,1.0600019,0.32,0.68,0.23
pind01,ANIC008997,-30.52,151.67,1,PicXB23746,1,original,NA,Anoplognathus_pindarus,5,42,NA,NA,0.56067574,0.08,0.28,0.05
pind02,ANIC008999,-30.52,151.67,1,PicXB23749,1,original,NA,Anoplognathus_pindarus,5,42,NA,NA,0.56067574,0.08,0.28,0.05
pind03,ANIC009000,-30.52,151.67,1,PicXB23752,1,original,NA,Anoplognathus_pindarus,5,42,NA,NA,0.56067574,0.08,0.28,0.05
pind04,ANIC008950,-35.27,149.1,1,PicXB33930,12,original,NA,Anoplognathus_pindarus,8,3,0.7,35,0.63394165,0.05,0.21,0.03
pind05,ANIC008943,-35.38,149.08,1,PicXB33935,12,original,NA,Anoplognathus_pindarus,0,28,NA,NA,0.6313396,0.05,0.21,0.03
pind06,ANIC009007,-35.3,149.13,1,PicXB33942,1,original,NA,Anoplognathus_pindarus,0,10,0.3,20,0.5741836,0.06,0.21,0.04
pind07,ANIC008968,-30.52,151.67,1,PicXB33943,1,original,NA,Anoplognathus_pindarus,5,42,NA,NA,0.56067574,0.08,0.28,0.05
pind08,ANIC008967,-29.82,151.73,1,PicXB33946,1,original,NA,Anoplognathus_pindarus,6,0,3.2,77,0.67533004,0.09,0.33,0.06
pine01,PicXB54424,-11.39,142.27,12,PicXB54424,1,original,NA,Anoplognathus_mcalpinei,13,NA,1.4,48,0.89679265,0.47,0.27,0.42
poro01,ANIC009078,-35.27,149.1,1,PicXB34015,12,original,NA,Anoplognathus_porosus,8,3,0.7,35,0.63394165,0.05,0.21,0.03
