Species_name,Code,ANIC Reference,Latitude,Longitude,batch,NameinHR
Anoplognathus punctulatus,punc02,ANIC010200,-16.8,145.63,ThisManuscript,NA
Anoplognathus parvulus,pvul01,ANIC008611,-19.6,146.83,ThisManuscript,NA
Anoplognathus parvulus,pvul02,ANIC008607,-19.63,147.5,ThisManuscript,NA
Anoplognathus parvulus,pvul03,ANIC008742,-21.15,149.18,ThisManuscript,NA
Anoplognathus parvulus,pvul04,ANIC008709,-16.92,145.77,ThisManuscript,NA
Anoplognathus parvulus,pvul05,ANIC008650,-19.6,146.83,PrettyCoolBeetles,pvul1
Anoplognathus parvulus,pvul06,ANIC008651,-19.52,147.1,PrettyCoolBeetles,pvul2
Calloodes rayneri,rayn01,NA,-16.31,145.04,ThisManuscript,NA
Calloodes rayneri,rayn02,NA,-16.41,145.2,ThisManuscript,NA
Calloodes rayneri,rayn03,NA,-16.41,145.2,ThisManuscript,NA
Calloodes rayneri,rayn04,NA,-28.04,145.41,PrettyCoolBeetles,rayn1
Calloodes rayneri,rayn05,NA,-28.04,145.41,PrettyCoolBeetles,rayn2
Repsimus aeneus,repa01,NA,-30.39,152.99,ThisManuscript,NA
Repsimus aeneus,repa02,NA,-35.27,149.1,ThisManuscript,NA
Repsimus aeneus,repa03,NA,-26.56,153.08,PrettyCoolBeetles,rpan1
Repsimus manicatus,reps01,NA,-33.4,151.09,ThisManuscript,NA
Repsimus manicatus,reps02,NA,-32.79,150.92,ThisManuscript,NA
Repsimus manicatus,reps03,NA,-33.55,150.9,PrettyCoolBeetles,rpmm1
Repsimus manicatus,rept01,NA,-35.32,148.95,ThisManuscript,NA
Repsimus manicatus,rept02,NA,-35.53,148.84,ThisManuscript,NA
Repsimus manicatus,rept03,NA,-35.3,148.89,ThisManuscript,NA
Anoplognathus rhinastus,rina01,ANIC010272,-30.07,153.2,ThisManuscript,NA
Anoplognathus rhinastus,rina02,ANIC010273,-30.38,153.03,ThisManuscript,NA
Anoplognathus rhinastus,rina03,ANIC010275,-28.58,151.8,ThisManuscript,NA
Anoplognathus rhinastus,rina04,ANIC010276,-28.58,151.8,ThisManuscript,NA
Anoplognathus rothschildti,roci01,ANIC010586,-18.98,146.15,ThisManuscript,NA
Anoplognathus rothschildti,roci02,ANIC010614,-19,146.2,ThisManuscript,NA
Anoplognathus rothschildti,roci03,ANIC010521,-17.48,145.48,ThisManuscript,NA
Anoplognathus rothschildti,roci04,ANIC010613,-19,146.2,ThisManuscript,NA
Anoplostethus roseus,rose01,NA,-11.15,132.14,ThisManuscript,NA
Anoplostethus roseus,rose02,NA,-16.08,136.06,ThisManuscript,NA
Anoplostethus roseus,rose03,NA,-12.44,131.07,ThisManuscript,NA
Anoplostethus roseus,rose04,NA,-16.08,136.06,ThisManuscript,NA
Anoplognathus suturalis,rubi01,ANIC010645,-30.38,151.93,ThisManuscript,NA
Anoplognathus suturalis,rubi02,ANIC010646,-30.38,151.93,ThisManuscript,NA
Anoplognathus suturalis,rubi03,ANIC010946,-37.3,146.13,ThisManuscript,NA
Anoplognathus suturalis,rubi04,ANIC010947,-37.3,146.13,ThisManuscript,NA
Anoplognathus suturalis,rubi05,ANIC010951,-35.33,149.33,ThisManuscript,NA
Anoplognathus suturalis,rubi06,ANIC010953,-35.33,149.33,ThisManuscript,NA
Anoplognathus rugosus,rugo01,ANIC010744,-34.05,151.15,ThisManuscript,NA
Anoplognathus rugosus,rugo02,ANIC010749,-35.55,149.95,ThisManuscript,NA
Anoplognathus rugosus,rugo03,ANIC010747,-35.55,149.95,ThisManuscript,NA
Anoplognathus smaragdinus,smgg01,ANIC010794,-17.58,145.98,ThisManuscript,NA
Anoplognathus smaragdinus,smgg02,ANIC010857,-17.47,146.03,ThisManuscript,NA
Anoplognathus smaragdinus,smgg03,ANIC010862,-17.53,146.02,PrettyCoolBeetles,smgd1
Anoplognathus smaragdinus,smgg04,NA,-16.92,145.77,PrettyCoolBeetles,smgd2
Anoplognathus smaragdinus,smgp01,ANIC010755,-16.92,145.77,ThisManuscript,NA
Anoplognathus smaragdinus,smgr01,ANIC010756,-16.92,145.77,ThisManuscript,NA
Anoplognathus viriditarsis,tars01,ANIC011524,-30.38,153.03,ThisManuscript,NA
Anoplognathus viriditarsis,tars02,ANIC011518,-30.38,153.03,ThisManuscript,NA
Anoplognathus viriditarsis,tars03,ANIC011508,-31.13,149.55,ThisManuscript,NA
Anoplognathus viriditarsis,tars04,ANIC011459,-35.38,148.87,ThisManuscript,NA
Anoplognathus viriditarsis,tars05,ANIC011565,-38.18,146.3,PrettyCoolBeetles,tars1
Anoplognathus viriditarsis,tars06,ANIC011492,-34.97,149.03,PrettyCoolBeetles,tars2
Anoplognathus velutinus,velu01,ANIC011247,-35.27,149.15,ThisManuscript,NA
Anoplognathus velutinus,velu02,ANIC011270,-27.93,152.93,ThisManuscript,NA
Anoplognathus velutinus,velu03,ANIC011243,-35.27,149.1,ThisManuscript,NA
Anoplognathus velutinus,velu04,ANIC002879,-31.33,138.6,ThisManuscript,NA
Anoplognathus velutinus,velu05,ANIC002877,-31.53,138.6,ThisManuscript,NA
Anoplognathus viridiaeneus,vrdi02,ANIC011299,-22.87,150.62,ThisManuscript,NA
Anoplognathus viridiaeneus,vrdi03,ANIC011292,-33.95,151.23,ThisManuscript,NA
Xylonichus sp.,xyle01,NA,-29.54,152.38,ThisManuscript,NA
Xylonichus sp.,xyle02,NA,-38.13,145.17,ThisManuscript,NA
Xylonichus sp.,xyle04,NA,-30.48,152.66,ThisManuscript,NA
Xylonichus sp.,xyle05,NA,-37.74,149.5,ThisManuscript,NA
Xylonichus sp.,xyle06,NA,-35.32,148.46,ThisManuscript,NA
Xylonichus sp.,xyle07,NA,-31.45,152.74,PrettyCoolBeetles,xyln1
Xylonichus sp.,xyle08,NA,-30.52,152.38,PrettyCoolBeetles,xyln2
Xylonichus sp.,xyle09,NA,-33.73,151.2,PrettyCoolBeetles,xyln3
Xylonichus sp.,xyls01,NA,-35.53,148.77,ThisManuscript,NA
Xylonichus sp.,xyls02,NA,-35.58,148.78,ThisManuscript,NA
Xylonichus sp.,xyls03,NA,-35.58,148.78,ThisManuscript,NA
